EmployeeId,Department,Salary,HireDate,Bonus
E1001,Engineering,72000.50,2019-03-14,1500.00
E1002,Sales,64500.00,2020-07-01,2000.00
E1003,,58000.00,2021-01-22,750.00
E1004,Finance,49500.00,2022-06-30,300.00
E1005,Marketing,66000.00,2018-11-05
E1006,HR,71000.00,2023-02-14,1250.00

E1007,Sales,55500.00,2019-10-03,600.00
E1008,Engineering,not-a-number,2017-09-09,500.00
,Support,52000.00,2021-03-11,400.00
E1009,Finance,63000.00,2019-12-01,1100.00
E1010, Marketing ,68000.00, 2016-05-19 ,900.00
E1011,Engineering,77000.00,2021-08-08,
E1002,Sales,64500.00,2020-07-01,2000.00
E1012,Support,59500.00,not-a-date,1800.00
